"状态","现代词条","候选整理文本","基础原文","传统分类","匹配分数","备选1","备选2"
"missing","梦见妻子","妻来相就，主和好","夫妻相打欲和会","夫妻产孕交欢","0.210","银钗夫妻主相殴","车轮破夫妻相别"
"missing","梦见妻子","妻与人言，防口舌","与恶人言有口舌","帝王文武呼召","0.493","与人饮酒有口舌","与人扣板有口舌"
"exact","梦见与夫相打","夫妻相打欲和会","夫妻相打欲和会","夫妻产孕交欢","1.000","车轮破夫妻相别","银钗夫妻主相殴"
"missing","梦见与夫相打","打过即和，主夫妇无嫌","镜破主夫妇离别","镜环钗钏梳蓖","0.306","夫妇入市主置产","夫妇宴会主相别"
"exact","梦见与妻分钗","夫妻分钗主离别","夫妻分钗主离别","夫妻产孕交欢","1.000","家中分财主离散","镜破主夫妇离别"
"missing","梦见与妻分钗","分钗起念，宜慎言行以护亲缘","夫妻分钗主离别","夫妻产孕交欢","0.198","金钗动有远行事","天裂有分主国忧"
"missing","梦见夫妻入水","妇人与夫入水吉","贵人与之衣冠吉","冠带衣服鞋袜","0.277","与妇人争屋主吉","与妇人共坐大吉"
"missing","梦见夫妻入水","同浴入水，主夫妇情笃","镜破主夫妇离别","镜环钗钏梳蓖","0.306","船中有水主得财","夫妇入市主置产"
"missing","梦见夫妻同浴","夫妻各与梳头吉","梳头洗面百忧去","身体面目齿发","0.217","银钗夫妻主相殴","人与梳蓖得美妾"
"missing","梦见夫妻同浴","同浴主夫妇齐心","镜破主夫妇离别","镜环钗钏梳蓖","0.373","夫妇入市主置产","夫妇宴会主相别"
"exact","梦见与异性同行","同妇人行主失财","同妇人行主失财","夫妻产孕交欢","1.000","大道崩馅主失财","交接男子主失财"
"missing","梦见与异性同行","男女同行，宜守正以避争","合伴同行凶事至","帝王文武呼召","0.161","新生男女主大吉","与贼同行大吉利"
"exact","梦见与异性同坐","与妇人共坐大吉","与妇人共坐大吉","夫妻产孕交欢","1.000","与妇人争屋主吉","妇人赤身主大吉"
"missing","梦见与异性同坐","安然同席，主和合无猜","着麻鞋百事和合","冠带衣服鞋袜","0.176","新造桥者大和合","盘石安稳无忧疑"
"exact","梦见拥抱","抱妇人主有喜事","抱妇人主有喜事","夫妻产孕交欢","1.000","鸠鸽者妇人有喜","居住高山有喜事"
"missing","梦见拥抱","抱夫主大得财喜，主和顺欢愉","担水来家得财喜","地理山石树木","0.241","升棺水上大得财","砍伐大树多得财"
"missing","梦见情人","见恋人者，情思未断","见笋者主添子孙","地理山石树木","0.105","妇人披头有私情","执笏见贵人大吉"
"missing","梦见情人","与情人言欢，近有喜事","抱妇人主有喜事","夫妻产孕交欢","0.352","居住高山有喜事","与恶人言有口舌"
"missing","梦见师长","见师长而受教，主学业有成","见军兵败主有凶","刀剑旌节钟鼓","0.115","见手帕主有口舌","见流桥主有官事"
"missing","梦见师长","师训相勉，近有贵人扶","见好枕有贵人扶","床帐毡祷匙筋","0.435","抱旌节主贵人扶","身在火中贵人扶"
"missing","梦见旧识","见旧识故人，主有所忆，心有未竟之事","锯主有断决之事","床帐毡祷匙筋","0.228","抱妇人主有喜事","渡天河主有所吉"
"missing","梦见朋友","故人相见，主有所遇","渡天河主有所吉","天地日月星辰","0.336","女人拔刀主有子","见军兵败主有凶"
"missing","梦见朋友","与友同坐，主得助力","与人公服主得职","冠带衣服鞋袜","0.247","乞得鞋履人助力","铅与锡者主得财"
"missing","梦见与友相会","与友同行，主合伙得利","与贼同行大吉利","水火盗贼灯烛","0.270","果林中行主得财","人送大桶主得利"
"missing","梦见与友相会","与友共席，主得人助","与人公服主得职","冠带衣服鞋袜","0.247","乞得鞋履人助力","铅与锡者主得财"
"exact","梦见与人对饮","与贵人对饮大吉","与贵人对饮大吉","饮食酒肉瓜果","1.000","执笏见贵人大吉","与人相砍大吉庆"
"missing","梦见与人对饮","对饮谈心，主合作可成","与贵人对饮大吉","饮食酒肉瓜果","0.206","见浮云作事不成","霜雪降主事不成"
"exact","梦见与人交易","与人交易主有疾","与人交易主有疾","帝王文武呼召","1.000","与妇人交有邪崇","就人卜易主疾病"
"missing","梦见与人交易","交易宜慎契约，勿仓促决","与人交易主有疾","帝王文武呼召","0.221","云起四方交易吉","超盖仓库福禄至"
"exact","梦见与人争吵","与人相骂者主吉","与人相骂者主吉","杀害斗伤打骂","1.000","与人相砍大吉庆","与妇人争屋主吉"
"missing","梦见与人争吵","过后宜和解，免久怨之患","身上虫行病患安","身体面目齿发","0.042","洗手洗足旧患除","贵人与之衣冠吉"
"approx","梦见与僧道言","僧师教人念经吉","憎师教人念经吉","佛道僧尼鬼神","0.843","教人耕种远行至","身人土中百事吉"
"approx","梦见与僧道言","与道士女冠言语吉，宜静心听其言","道士女冠言语吉","佛道僧尼鬼神","0.900","贵人与之衣冠吉","女着冠带主生子"
"exact","梦见与神言","佛共人言有福助","佛共人言有福助","佛道僧尼鬼神","1.000","与恶人言有口舌","山行得财有福禄"
"missing","梦见与神言","与神对语，主得心安","与人公服主得职","冠带衣服鞋袜","0.247","铅与锡者主得财","与神女通得贵子"
"approx","梦见与圣贤言","与圣贤说话大吉","与圣贤说诣大吉","帝王文武呼召","0.777","与人相砍大吉庆","与妇人共坐大吉"
"missing","梦见与圣贤言","得圣贤教，主明心见性","与圣贤说诣大吉","帝王文武呼召","0.206","得靴鞋主奴婢吉","得人刀主行人至"
"exact","梦见皇帝","天子赐坐有财吉","天子赐坐有财吉","帝王文武呼召","1.000","粳糯米者有财吉","带刀剑行有财利"
"exact","梦见皇帝","帝王宣召，有惊喜","帝王宣召有惊喜","帝王文武呼召","1.000","入帝王官行大吉","居住高山有喜事"
"exact","梦见王侯","王侯并坐大吉利","王侯并坐大吉利","帝王文武呼召","1.000","入王侯府主大吉","杀猪者大吉利"
"missing","梦见王侯","与王侯言，主威仪有成","入王侯府主大吉","宫室屋宇仓库","0.253","上天取物位王侯","负抱日月贵王侯"
"exact","梦见太子","太子召大喜吉利","太子召大喜吉利","帝王文武呼召","1.000","小鱼生子大吉利","杀猪者大吉利"
"missing","梦见太子","得太子言，主子嗣显达","太子召大喜吉利","帝王文武呼召","0.206","面生疮黑主子凶","手指折者主子病"
"missing","梦见将军","将卒随行主喜事","居田宅主妻喜事","宫室屋宇仓库","0.277","车行主百事顺利","抱妇人主有喜事"
"missing","梦见将军","得将军教，主谋事有成","霜雪降主事不成","天地日月星辰","0.140","见军兵败主有凶","见军兵败主凶事"
"exact","梦见使者","使命入门大吉利","使命入门大吉利","帝王文武呼召","1.000","门户大开大吉利","修移门户大吉利"
"missing","梦见使者","使者来访，主上人召唤","经络者主被人辱","金银珠玉绢帛","0.140","见龟者主女人贵","树木凋零主人凶"
"approx","梦见贵人","一切贵人皆吉祥","一切贵人皆吉利","帝王文武呼召","0.873","贵人与之衣冠吉","执笏见贵人大吉"
"missing","梦见贵人","得贵人扶持，事可顺成","抱旌节主贵人扶","刀剑旌节钟鼓","0.336","见好枕有贵人扶","身在火中贵人扶"
"approx","梦见官吏","见官者，主有口舌","桥断者主有口舌","道路桥梁集市","0.687","见手帕主有口舌","铜裆主有口舌至"
"missing","梦见官吏","得官者，主得禄","面对官者主大吉","身体面目齿发","0.391","掏厕者主得横财","铅与锡者主得财"
"missing","梦见官吏","官吏入门，主讼事将临","车入门主有凶事","船车游行物价","0.352","龙蛇入门主得财","天火烧门主凶事"
"missing","梦见乞丐","见乞丐者，主破财而得名","失落刀剑主破财","刀剑旌节钟鼓","0.281","打球者主得虚名","见鳖者主有得财"
"missing","梦见乞丐","施乞者，积阴德之象","道施盖者大吉利","佛道僧尼鬼神","0.105","蛇多者主阴司事","云忽遮日有阴私"
"missing","梦见水","清水盈庭，主大吉","桶盛水者主大吉","床帐毡祷匙筋","0.433","水上行者主大吉","水上火出主大吉"
"missing","梦见水","浑水满屋，主疾病","风吹人衣主疾病","天地日月星辰","0.373","地裂主疾病大凶","旗幡竞出主疾病"
"exact","梦见水中行","水上行者主大吉","水上行者主大吉","水火盗贼灯烛","1.000","桶盛水者主大吉","水上火出主大吉"
"approx","梦见水中行","自在水中大吉利，主心境澄明","自在水中大吉利","水火盗贼灯烛","0.913","身在禾中大吉利","水中钓鱼大吉利"
"missing","梦见洪水","水漫宅舍，主忧疾","洒扫宅舍远人来","宫室屋宇仓库","0.217","典卖田舍主失位","新冢棺郭主忧除"
"missing","梦见洪水","水退井盈，吉事至","醉落井中官事至","门户井灶橱厕","0.277","人云出井喜事至","合伴同行凶事至"
"exact","梦见过河","乘船渡江河得官","乘船渡江河得官","船车游行物价","1.000","乘船看日月得职","铺席合坐得官位"
"missing","梦见过河","过河平稳，主前程顺达","渡天河主有所吉","天地日月星辰","0.093","地高下不平主病","乘船过日月主宫"
"exact","梦见溪流","水流洋洋有新婚","水流洋洋有新婚","水火盗贼灯烛","1.000","灶下水流得横财","见流桥主有官事"
"missing","梦见溪流","溪水清流，主心事渐顺","取井水清吉浑凶","门户井灶橱厕","0.176","牛触人心事不成","车行主百事顺利"
"exact","梦见湖海","江海涨漫大吉昌","江海涨漫大吉昌","水火盗贼灯烛","1.000","礼拜日月大吉昌","五色云主大吉昌"
"missing","梦见湖海","湖光浩渺，主胸襟开阔","天门开贵人荐引","天地日月星辰","0.047","天光灼身疾病除","乘龙上天主大贵"
"missing","梦见海","乘船涉海，主远行有利","空野无人主远行","冢墓馆郭迎送","0.306","已射人必主远行","带刀剑行有财利"
"missing","梦见海","海风大作，防波折","狂风大雨人死亡","天地日月星辰","0.217","大木忽折主凶恶","乘船风帆大吉利"
"missing","梦见海","海水平静，主心事渐明","牛触人心事不成","牛马猪羊六畜","0.176","水上立者主凶事","水牛来家主丧事"
"exact","梦见井水溢","井中沸溢主得财","井中沸溢主得财","门户井灶橱厕","1.000","果林中行主得财","船中有水主得财"
"missing","梦见井水溢","井水满溢，主财源广进","井中沸溢主得财","门户井灶橱厕","0.270","井中伏泥出主财","他人起笔主财进"
"missing","梦见火","火光冲天，主大吉","执火入船主大吉","船车游行物价","0.433","水上火出主大吉","乘龙上天主大贵"
"missing","梦见火","火焚屋舍，主得财","厕屋上卧主得财","污垢沐浴凌辱","0.433","果林中行主得财","剪刀剪物主得财"
"exact","梦见火烧山","火烧山野大显达","火烧山野大显达","水火盗贼灯烛","1.000","火烧日月大人助","天火烧门主凶事"
"missing","梦见火烧山","山火远见，主事可奋发","霜雪降主事不成","天地日月星辰","0.176","天火烧门主凶事","见流桥主有官事"
"approx","梦见火烧屋","火烧自屋主兴旺","火烧自是主兴旺","水火盗贼灯烛","0.747","天火烧门主凶事","大火烧天主国安"
"approx","梦见火烧屋","火焰炎炎主发财，事必大显","火焰炎炎主发财","水火盗贼灯烛","0.922","火烧山野大显达","入果园中大发财"
"missing","梦见太阳","日初出，贵人至","日初出无云大吉","天地日月星辰","0.391","日月初出家道昌","贵人赐绫锦官至"
"missing","梦见太阳","日高升，名显扬","登大树名利显扬","地理山石树木","0.285","日光入屋官位至","日出有光有好事"
"missing","梦见太阳","日落西，事将终","日出有光有好事","天地日月星辰","0.150","云开日出凶事散","日月落忧没父母"
"exact","梦见日初升","日初出无云大吉","日初出无云大吉","天地日月星辰","1.000","日月初出家道昌","礼拜日月大吉昌"
"missing","梦见日初升","旭日东升，主前程光明","日月衔山奴欺主","天地日月星辰","0.093","日光入屋官位至","日出有光有好事"
"exact","梦见日落","日入怀贵子月女","日入怀贵子月女","天地日月星辰","1.000","星入怀主生贵子","蛇入怀中生贵子"
"missing","梦见日落","日落西山，事将终而宜守","日月落忧没父母","天地日月星辰","0.084","日月衔山奴欺主","日出有光有好事"
"exact","梦见日蚀","日月昏暗孕妇吉","日月昏暗孕妇吉","天地日月星辰","1.000","礼拜日月大吉昌","日月初出家道昌"
"missing","梦见日蚀","日蚀者，主国事有变，宜慎其言","赠彩帛者主有权","金银珠玉绢帛","0.173","手帕者主口舌事","席箪者主有力助"
"missing","梦见月亮","月圆光皎，百事吉","身人土中百事吉","地理山石树木","0.373","衣带自解百事吉","冢基门开百事吉"
"missing","梦见月亮","月蚀者，病疾至","刷牙者病患不生","镜环钗钏梳蓖","0.225","呕吐者病人出痊","麻丛身者主病至"
"exact","梦见月圆","日月合会妻有子","日月合会妻有子","天地日月星辰","1.000","食茄者主妻有子","看神佛者妻有子"
"missing","梦见月圆","月圆夜静，主家室和合","着麻鞋百事和合","冠带衣服鞋袜","0.176","新造桥者大和合","强贼入宅主家破"
"exact","梦见月落","日月落忧没父母","日月落忧没父母","天地日月星辰","1.000","齿自落者父母凶","日月初出家道昌"
"missing","梦见月落","月落西山，宜静守","日月落忧没父母","天地日月星辰","0.247","日月衔山奴欺主","日月初出家道昌"
"missing","梦见星辰","众星列天，主名显高举","星列行主添奴婢","天地日月星辰","0.223","乘龙上天主大贵","大火烧天主国安"
"missing","梦见星辰","流星陨落，主有大变","流星不落主移居","天地日月星辰","0.418","入牢狱主有大贵","鸡抱卵主有大喜"
"exact","梦见星陨","星落有病及官事","星落有病及官事","天地日月星辰","1.000","醉落井中官事至","见流桥主有官事"
"exact","梦见星陨","流星不落，主移居","流星不落主移居","天地日月星辰","1.000","与人同船主移居","佩印执笏主移居"
"exact","梦见流星","流星不落主移居","流星不落主移居","天地日月星辰","1.000","与人同船主移居","佩印执笏主移居"
"missing","梦见流星","流星过眼，主心愿乍起","流星不落主移居","天地日月星辰","0.253","星入怀主生贵子","星列行主添奴婢"
"exact","梦见北斗","巡天摩星位公卿","巡天摩星位公卿","天地日月星辰","1.000","天皇明主公卿至","上天取物位王侯"
"approx","梦见北斗","持执星宿，主大富贵","持执星宿大富贵","天地日月星辰","0.814","得铜物主大富贵","船飞行主大富贵"
"exact","梦见银河","渡天河主有所吉","渡天河主有所吉","天地日月星辰","1.000","桑生井上主有忧","着白衣主有人请"
"missing","梦见银河","银河横空，主胸襟壮阔","渡天河主有所吉","天地日月星辰","0.123","金银宝者主富贵","银钗夫妻主相殴"
"missing","梦见天裂","天裂有分国之忧","天裂有分主国忧","天地日月星辰","0.680","食栗者主有分别","天晴雨散百忧去"
"missing","梦见天裂","天裂者，宜慎大局之变","天裂有分主国忧","天地日月星辰","0.206","仰面向天大富贵","乘龙上天主大贵"
"approx","梦见登天","登天上屋得高官","癸天上屋得高官","天地日月星辰","0.843","披甲杖剑得高官","盖城上屋大吉利"
"missing","梦见登天","升天主大富贵，宜守正道","得铜物主大富贵","金银珠玉绢帛","0.400","船飞行主大富贵","乘龙上天主大贵"
"exact","梦见持星","持执星宿大富贵","持执星宿大富贵","天地日月星辰","1.000","仰面向天大富贵","旌旗迎接大富贵"
"missing","梦见持星","摘星入怀，主名利双收","星入怀主生贵子","天地日月星辰","0.435","日入怀贵子月女","登大树名利显扬"
"missing","梦见云","祥云五彩，主贵人至","抱旌节主贵人扶","刀剑旌节钟鼓","0.336","得人刀主行人至","贵人赐绫锦官至"
"missing","梦见云","乌云蔽日，主忧事起","新冢棺郭主忧除","冢墓馆郭迎送","0.194","云开日出凶事散","天裂有分主国忧"
"exact","梦见五色云","五色云主大吉昌","五色云主大吉昌","天地日月星辰","1.000","礼拜日月大吉昌","修平田地大吉昌"
"missing","梦见五色云","彩云出岫，主祯祥临","人云出井喜事至","门户井灶橱厕","0.194","五色云主大吉昌","云开日出凶事散"
"approx","梦见黑云","黑云至地时气病","黑云压地时气病","天地日月星辰","0.777","地裂主疾病大凶","地高下不平主病"
"missing","梦见黑云","阴云蔽日，主气运暂滞","见馒头未食主气","饮食酒肉瓜果","0.176","黑云压地时气病","日月衔山奴欺主"
"exact","梦见浓雾","云雾遮事大吉利","云雾遮事大吉利","天地日月星辰","1.000","杀猪者大吉利","雪下及时大吉利"
"missing","梦见浓雾","浓雾迷天，主事多隐情","乘龙上天主大贵","天地日月星辰","0.176","霜雪降主事不成","大火烧天主国安"
"exact","梦见霜降","霜雪降主事不成","霜雪降主事不成","天地日月星辰","1.000","见浮云作事不成","门前坑沟事不成"
"missing","梦见霜降","霜降于晨，宜稳重以待","霜雪降主事不成","天地日月星辰","0.093","日月照身得重位","卧于石上主大吉"
"exact","梦见霞光","霞满天百事欢悦","霞满天百事欢悦","天地日月星辰","1.000","身人土中百事吉","枫生屋上百事遂"
"missing","梦见霞光","朝霞布锦，主前路通明","拜朝廷者主富贵","宫室屋宇仓库","0.093","道中得财主通达","见读书者主聪明"
"missing","梦见露水","朝露不化，主事易成","霜雪降主事不成","天地日月星辰","0.247","流星不落主移居","见浮云作事不成"
"missing","梦见露水","露珠盈叶，主小利可期","鹤上天主小口灾","龙蛇禽兽等类","0.176","抢鱼拾鱼主小疾","蚕飞不茧主小吉"
"missing","梦见冰雹","雹击禾稼，主庄稼受损","自种田禾主出行","田园五谷耕种","0.093","得禾忽失主得秩","乘龙上天主大贵"
"missing","梦见冰雹","冰雹落屋，宜慎财损","大树落叶屋中吉","地理山石树木","0.105","失落刀剑主破财","厕屋上卧主得财"
"exact","梦见暴雨","狂风大雨人死亡","狂风大雨人死亡","天地日月星辰","1.000","屋宅无人主死亡","病人装车必死亡"
"missing","梦见暴雨","暴雨突至，宜避险事","逾墙度宅险事去","宫室屋宇仓库","0.194","阴雨晦时主囚事","狂风大雨人死亡"
"missing","梦见下雨","细雨润物，主有小利","渡天河主有所吉","天地日月星辰","0.194","桑生井上主有忧","着白衣主有人请"
"missing","梦见下雨","暴雨骤来，防险事","逾墙度宅险事去","宫室屋宇仓库","0.217","阴雨晦时主囚事","新衣攒来百事凶"
"missing","梦见下雨","久雨方晴，主忧事终结","新冢棺郭主忧除","冢墓馆郭迎送","0.176","阴雨晦时主囚事","天晴雨散百忧去"
"missing","梦见下雪","瑞雪降庭，主丰年有余","霜雪降主事不成","天地日月星辰","0.223","雪落家庭主丧事","渡天河主有所吉"
"missing","梦见下雪","踏雪独行，主高洁之志","星列行主添奴婢","天地日月星辰","0.176","果林中行主得财","船飞行主大富贵"
"missing","梦见打雷","雷鸣于野，行人利","得人刀主行人至","刀剑旌节钟鼓","0.217","人射已有行人至","怀中琵琶行人力"
"missing","梦见打雷","雷击屋者，惊中有定","井中有鱼身主贵","门户井灶橱厕","0.194","船中有水主得财","大树落叶屋中吉"
"exact","梦见霹雳","身被霹雳主富贵","身被霹雳主富贵","天地日月星辰","1.000","羽益盖身主富贵","运石入家主富贵"
"missing","梦见霹雳","震耳一声，宜抓住机遇","雷霆作声官位至","天地日月星辰","0.047","雷声恐怕私居吉","雷从地震主志遂"
"exact","梦见闪电","电光照身有吉庆","电光照身有吉庆","天地日月星辰","1.000","拜尊长者有吉庆","吹笛打鼓有吉庆"
"missing","梦见闪电","闪电照夜，主事将明朗","霜雪降主事不成","天地日月星辰","0.176","电光照身有吉庆","雪落家庭主丧事"
"approx","梦见赤虹","赤虹见吉","赤虹见吉黑虹凶","天地日月星辰","0.941","云赤白吉青黑凶","执笏见贵人大吉"
"missing","梦见赤虹","赤虹横天，主吉事将临","赤虹见吉黑虹凶","天地日月星辰","0.253","乘龙上天主大贵","行道宫见仙主吉"
"missing","梦见黑虹","阴虹现天，宜避是非之境","船浅在岸是非厄","船车游行物价","0.161","赤虹见吉黑虹凶","天门开贵人荐引"
"missing","梦见风","和风拂面，主吉事临","行道宫见仙主吉","宫室屋宇仓库","0.194","与妇人争屋主吉","老君真人皆主吉"
"missing","梦见风","狂风大作，主动荡之象","狂风大雨人死亡","天地日月星辰","0.336","风吹人衣主疾病","风如吼主远信至"
"missing","梦见山","登山而上，主升迁之喜","卧于石上主大吉","地理山石树木","0.176","地中黑气上主凶","桑生井上主有忧"
"missing","梦见山","见青山而远望，主心怀高志","日月衔山奴欺主","天地日月星辰","0.076","雷从地震主志遂","升山落地主失位"
"missing","梦见登山","上山恐怕禄位至","桥上坐立禄位至","道路桥梁集市","0.433","几上有书禄位至","眉与发齐禄位至"
"missing","梦见登山","登山见日，主名利兼收","登大树名利显扬","地理山石树木","0.223","见四通路名利遂","见脂粉主大财利"
"missing","梦见下山","行走上坡病思除","天光灼身疾病除","天地日月星辰","0.120","身上虫行病患安","沐浴迁官疾病除"
"missing","梦见下山","下山速行，宜慎其速以避失","升山落地主失位","地理山石树木","0.076","山行得财有福禄","同妇人行主失财"
"missing","梦见山崩","上山毁坏主凶恶","身上汗出主凶恶","身体面目齿发","0.433","大木忽折主凶恶","绳索断者主凶恶"
"missing","梦见山崩","山崩眼前，宜稳避其险","日月衔山奴欺主","天地日月星辰","0.047","盘石安稳无忧疑","升山落地主失位"
"exact","梦见登岩","登岩抱石官职迁","登岩抱石官职迁","地理山石树木","1.000","日月欲出有官职","人与公服加官职"
"missing","梦见登岩","攀岩入云，主奋发可成","五色云主大吉昌","天地日月星辰","0.176","星入怀主生贵子","见浮云作事不成"
"exact","梦见走平地","地高下不平主病","地高下不平主病","地理山石树木","1.000","迁移尼寺主病至","女人相打主病至"
"missing","梦见走平地","走平地者，主诸事顺遂","手帕者主口舌事","镜环钗钏梳蓖","0.223","锤钻者主侵害事","车行主百事顺利"
"exact","梦见地动","地动主迁官位吉","地动主迁官位吉","地理山石树木","1.000","公座移动主迁官","枪槊主官位吉利"
"missing","梦见地动","地动而稳，主事变中得机","地动主迁官位吉","地理山石树木","0.233","霜雪降主事不成","在官厨中得财禄"
"exact","梦见地陷","地裂主疾病大凶","地裂主疾病大凶","地理山石树木","1.000","风吹人衣主疾病","旗幡竞出主疾病"
"missing","梦见地陷","地陷脚下，宜稳重以待","堂上地陷主安忧","地理山石树木","0.206","地高下不平主病","地裂主疾病大凶"
"exact","梦见走泥泞","在泥中所求不成","在泥中所求不成","污垢沐浴凌辱","1.000","车不行所求不遂","天地合所求皆得"
"missing","梦见走泥泞","行走泥泞，宜暂缓以蓄力","怀中琵琶行人力","哀乐病死歌唱","0.084","星列行主添奴婢","行路逢雨有酒食"
"approx","梦见过桥","桥上坐主禄位至","桥上坐立禄位至","道路桥梁集市","0.747","驾鹞者主禄位至","几上有书禄位至"
"missing","梦见过桥","过桥稳行，主事必有成","霜雪降主事不成","天地日月星辰","0.223","车行主百事顺利","星列行主添奴婢"
"missing","梦见大地","立于大地者，主根基稳固","大小盆者主团圆","床帐毡祷匙筋","0.203","死人立者主大凶","水上立者主凶事"
"missing","梦见大地","田野广阔，主事业有成","霜雪降主事不成","天地日月星辰","0.223","居田宅主妻喜事","野鸭入宅主有凶"
"exact","梦见枯木","枯木再发子孙兴","枯木再发子孙兴","地理山石树木","1.000","枯木开花兴子孙","齿落更生子孙兴"
"missing","梦见枯木","枯木开花，主事可重启","枯木开花兴子孙","地理山石树木","0.465","枯木再发子孙兴","霜雪降主事不成"
"approx","梦见花开","枯木开花子孙兴","枯木开花兴子孙","地理山石树木","0.777","枯木再发子孙兴","齿落更生子孙兴"
"missing","梦见花开","花开当时，主事运到时","阴雨晦时主囚事","天地日月星辰","0.223","霜雪降主事不成","云开日出凶事散"
"exact","梦见果实落","果树多熟子孙安","果树多熟子孙安","地理山石树木","1.000","门中生果树有子","枯木再发子孙兴"
"missing","梦见果实落","果落入手，主小利可得","鹤上天主小口灾","龙蛇禽兽等类","0.176","抢鱼拾鱼主小疾","蚕飞不茧主小吉"
"exact","梦见竹生","庭前竹木喜重重","庭前竹木喜重重","地理山石树木","1.000","兰生庭前主添孙","马舞庭前凶事散"
"missing","梦见竹生","竹生堂前，主家中吉气盛","家中生柏大吉利","地理山石树木","0.203","兰生庭前主添孙","家中欢喜百事吉"
"exact","梦见松柏","家中生松事转丰","家中生松事转丰","地理山石树木","1.000","家中生柏大吉利","家中欢喜百事吉"
"exact","梦见松柏","屋上生松柏益寿","屋上生松柏益寿","宫室屋宇仓库","1.000","屋上生禾官位吉","天欲晓益寿命吉"
"exact","梦见兰草","兰生庭前主添孙","兰生庭前主添孙","地理山石树木","1.000","见笋者主添子孙","星列行主添奴婢"
"missing","梦见兰草","兰香袭人，主家有贵客","得他人镜有贵子","镜环钗钏梳蓖","0.223","抱妇人主有喜事","人家有水见子亡"
"approx","梦见拾花","入菜园中大发财","入果园中大发财","地理山石树木","0.747","入仓库中大吉昌","身在禾中大吉利"
"missing","梦见拾花","拾花在手，主小喜临身","抢鱼拾鱼主小疾","龟鳖鱼虾昆虫","0.223","枷索临身病欲来","枷锁临身疾病至"
"exact","梦见折花","与人分花主分散","与人分花主分散","地理山石树木","1.000","与人分金主分散","破镜照人主分散"
"missing","梦见折花","折花当道，宜慎分与之事","剪刀主分财之事","刀剑旌节钟鼓","0.203","贵人与之衣冠吉","箱器生口舌之事"
"missing","梦见天晴","久阴方晴，主忧事渐散","新冢棺郭主忧除","冢墓馆郭迎送","0.176","阴雨晦时主囚事","天晴雨散百忧去"
"missing","梦见天晴","天晴日朗，百事皆宜","天晴雨散百忧去","天地日月星辰","0.277","霞满天百事欢悦","身人土中百事吉"
"approx","梦见掉牙","齿落者，主有丧事","杀龟者主有丧事","杀害斗伤打骂","0.687","病重者主有凶事","捉龟者主丧事至"
"missing","梦见掉牙","齿更生者，吉","齿落更生子孙兴","身体面目齿发","0.326","镜明者吉暗者凶","杀猪者大吉利"
"exact","梦见缺齿","齿自落者父母凶","齿自落者父母凶","身体面目齿发","1.000","日月落忧没父母","自落水中不出凶"
"missing","梦见缺齿","齿少缺，宜慎家中长辈安康","家住井中长子匈","门户井灶橱厕","0.187","家中生松事转丰","家中生柏大吉利"
"exact","梦见齿生","齿落更生子孙兴","齿落更生子孙兴","身体面目齿发","1.000","枯木再发子孙兴","头须自落忧子孙"
"missing","梦见齿生","新牙重生，主家业更新","头须再生主长命","身体面目齿发","0.176","屋宅更新主大吉","门更新主生贵子"
"missing","梦见头发","自剪发，主丧忧","雪落家庭主丧事","天地日月星辰","0.225","锅铁破主丧事来","堂上歌乐主丧事"
"missing","梦见头发","白发生，主长寿","头须再生主长命","身体面目齿发","0.391","头白主长命大吉","绳索主长命大吉"
"exact","梦见白发","头白主长命大吉","头白主长命大吉","身体面目齿发","1.000","绳索主长命大吉","种菜主长命大吉"
"missing","梦见白发","须白渐染，宜安享余年","头白主长命大吉","身体面目齿发","0.077","云赤白吉青黑凶","盘石安稳无忧疑"
"exact","梦见秃头","头秃发落皆凶事","头秃发落皆凶事","身体面目齿发","1.000","云开日出凶事散","合伴同行凶事至"
"missing","梦见秃头","落发当道，宜善养身心","雪落身上万事成","天地日月星辰","0.093","头秃发落皆凶事","天光灼身疾病除"
"exact","梦见生角","头生两角有争竞","头生两角有争竞","身体面目齿发","1.000","妻有争主外私情","食大肉主有争讼"
"missing","梦见生角","生角者，宜避口舌之争","箱器生口舌之事","金银珠玉绢帛","0.352","宫城塞者口舌至","手帕者主口舌事"
"exact","梦见梳头","梳头洗面百忧去","梳头洗面百忧去","身体面目齿发","1.000","天晴雨散百忧去","浩鬼在园百忧去"
"missing","梦见梳头","梳理整齐，主家事顺","车行主百事顺利","船车游行物价","0.247","强贼入宅主家破","厕中干者主家破"
"exact","梦见洗头","洗头迁居疾病除","洗头迁居疾病除","污垢沐浴凌辱","1.000","沐浴迁官疾病除","天光灼身疾病除"
"missing","梦见洗头","洗发清新，主事运转好","霜雪降主事不成","天地日月星辰","0.176","屋宅更新主大吉","门更新主生贵子"
"missing","梦见眼睛","目能远视，主贵人至","抱旌节主贵人扶","刀剑旌节钟鼓","0.336","得人刀主行人至","贵人赐绫锦官至"
"missing","梦见眼睛","目盲者，近有忧事","桑生井上主有忧","地理山石树木","0.217","看放烟火有忧散","食蒜者有灾害事"
"approx","梦见眼亮","照镜明吉","照镜明吉暗者凶","身体面目齿发","0.911","镜明者吉暗者凶","冢墓上明吉暗凶"
"missing","梦见眼亮","目能远视，主前程开朗","远人来悲泣主凶","哀乐病死歌唱","0.093","天门开贵人荐引","乘龙上天主大贵"
"missing","梦见眼盲","照镜暗者凶","照镜明吉暗者凶","身体面目齿发","0.648","镜明者吉暗者凶","食一初果者凶至"
